Male;Height(cm);Height;Weight;Mean;(data[i]-mean)^2;Variance;StandardDeviation
Male;170.8234450324;67.2533248159;180.7797800138;;18.7864854554;;
Male;192.898929355;75.944460376;231.9247485091;;314.7482746545;;
Male;168.4432290735;66.3162319187;170.5938581045;;45.0852341808;;
Male;180.7363758646;71.15605349;188.2714562883;;31.1206985576;;
Male;180.8281938087;71.1922022869;196.0615291634;;32.1535589518;;
Male;183.3816804983;72.1975120072;214.6035841704;;67.6324903699;;
Male;190.8576864421;75.1408214339;224.1242713296;;246.4869686786;;
Male;163.6052845736;64.4115293597;158.5793973234;;133.460219459;;
Male;164.4254378696;64.7344243581;166.5011147453;;115.1832315972;;
Male;161.0730513305;63.414587138;160.1406156224;;198.3796656745;;
Male;172.3356096933;67.8486652336;176.1726342546;;7.9646620673;;
Male;167.4667334652;65.9317848288;174.4852946665;;59.1522426598;;
Male;180.2550381082;70.9665504363;193.9064987989;;25.9820098287;;
Male;171.6550980843;67.5807472773;186.9916067068;;12.2688014874;;
Male;174.2167469123;68.5892704379;173.5957960995;;0.8855488832;;
Male;178.6248737483;70.3247534442;193.346560304;;12.0207183864;;
Male;183.881980229;72.3944804051;208.4365090382;;76.111617616;;
Male;179.8849760548;70.8208567145;206.0329778008;;22.3463543544;;
Male;167.3943852029;65.903301261;172.5752309571;;60.270345065;;
Male;189.9802525554;74.7953750218;232.6354028474;;219.7056042743;;
Male;171.9095343471;67.6809190343;177.2401454954;;10.5511191894;;
Male;170.5761454325;67.1559627687;175.6466902142;;20.9914026286;;
Male;182.308096711;71.7748412248;212.6261022886;;51.126986433;;
Male;164.2496891403;64.665231945;166.9692040097;;118.9865112441;;
Male;173.0318316405;68.1227683624;196.4144152751;;4.5196691035;;
Male;169.6387951883;66.7869272395;165.4312422256;;30.459226259;;
Male;169.6868585852;66.8058498367;176.5658185577;;29.9310137476;;
Male;172.4304750469;67.886013798;174.6520347158;;7.4382085689;;
Male;175.7008853748;69.1735769192;195.2375293011;;0.2949602098;;
Male;178.3713052491;70.2249233264;205.6844383963;;10.3267253654;;
Male;164.7337299111;64.8557991776;158.3414423605;;108.6608824103;;
Male;172.2655769096;67.8210932715;169.0810082739;;8.3648559611;;
Male;161.1382285664;63.4402474671;135.6558758658;;196.5479059914;;
Male;182.4950245137;71.8484348479;218.1574694507;;53.8351133043;;
Male;169.4893070636;66.7280736471;155.899541329;;32.1316192292;;
Male;182.7994963563;71.9683056521;201.5281774305;;58.3957833062;;
Male;193.0942225893;76.0213474761;235.9260606487;;321.7158658112;;
Male;181.5492972578;71.4761012826;195.3926175775;;40.8514547468;;
Male;171.119313958;67.3698086449;176.6361635674;;16.3092320518;;
Male;179.2103191491;70.5552437595;198.4602486001;;16.4230493916;;
Male;177.4624372548;69.8671012814;185.7169100237;;5.3114313202;;
Male;172.5868279072;67.9475700422;177.3477798185;;6.6098099931;;
Male;188.2255795138;74.1045588637;215.7597035238;;170.7673062148;;
Male;175.6863042007;69.1678362995;187.0224203016;;0.2793346794;;
Male;169.0553605747;66.5572285727;171.5878843169;;37.2395592291;;
Male;169.4220766749;66.7016049901;172.8398090781;;32.8983268338;;
Male;170.8050049842;67.2460649544;168.2802868939;;18.9466762922;;
Male;175.3905191319;69.051385485;163.8204889278;;0.0541661158;;
Male;179.5087778288;70.6727471767;190.0234341805;;18.9311561631;;
Male;166.3674476084;65.4989951214;156.8699516687;;77.2699959688;;
Male;165.5755409681;65.1872208536;172.6064825596;;91.8193619987;;
Male;171.6230832355;67.5681430061;169.0639829949;;12.494102293;;
Male;187.491079648;73.8153856882;231.3745081172;;152.1102066695;;
Male;181.8806730893;71.6065642084;207.2504767517;;45.1972514047;;
Male;172.0208630592;67.7247492359;172.152772178;;9.8402665978;;
Male;173.3070751586;68.2311319522;199.8277580228;;3.425119445;;
Male;167.4607311437;65.9294217101;168.0904122158;;59.2446069914;;
Male;181.7331791026;71.5484957097;197.8196148333;;43.2358341525;;
Male;175.6775280499;69.164381122;196.8923150407;;0.2701349363;;
Male;174.238054683;68.597659324;180.2217801023;;0.8459001428;;
Male;180.4860776499;71.0575108858;189.1340124359;;28.3907240758;;
Male;161.655911337;63.6440595815;158.42271732;;182.3005378989;;
Male;180.8034367048;71.1824553956;208.9226826559;;31.8734059659;;
Male;167.9668298513;66.1286731698;187.1411194534;;51.709806918;;
Male;165.2457277124;65.0573731151;157.5824315352;;98.2488396546;;
Male;172.9520908714;68.0913743588;181.6444449839;;4.8650776839;;
Male;180.3225855035;70.993143899;204.7466781748;;26.6751850929;;
Male;188.5217841891;74.2211748776;231.1301897593;;178.5965282822;;
Male;176.0908801762;69.3271181796;186.2584296144;;0.8706703751;;
Male;164.925609173;64.9313421941;181.0938696389;;104.697380843;;
Male;173.6009794788;68.3468423145;198.9209796678;;2.4236371453;;
Male;180.1599777146;70.9291250845;203.3704632159;;25.0219521502;;
Male;156.1536353721;61.4778092016;161.0287521419;;361.1576263536;;
Male;173.966664305;68.4908127185;189.8066818422;;1.4187637011;;
Male;183.0067202718;72.0498898708;200.2028285066;;61.6058165907;;
Male;184.2050342455;72.5216670258;221.8626503085;;81.8527554381;;
Male;180.934134939;71.2339113933;214.0601482209;;33.366241939;;
Male;183.5381525732;72.2591151863;201.7014216174;;70.2305944969;;
Male;171.6152013577;67.5650399046;187.1870936322;;12.54988456;;
Male;183.5597217673;72.267606995;196.5274668959;;70.5925753637;;
Male;159.0046299139;62.6002479976;151.7207037293;;260.9243540187;;
Male;168.2405507212;66.2364372918;167.2975302511;;47.8481021406;;
Male;176.9121110275;69.6504374124;198.8436959646;;3.0776668937;;
Male;175.9862403717;69.2859214062;178.7895479819;;0.6863416478;;
Male;179.642207993;70.7252787374;193.539252116;;20.1100676855;;
Male;174.8246819984;68.82861496;197.7379050223;;0.1109562648;;
Male;167.6766477131;66.0144282335;184.461811521;;55.9673849013;;
Male;168.6938004334;66.4148820604;155.1947716869;;41.7830703793;;
Male;169.2036859549;66.6156243917;160.9919898712;;35.4512713996;;
Male;172.8084473265;68.0348217821;189.0844617351;;5.5193780188;;
Male;179.076091032;70.5023980441;172.9857771462;;15.3531379803;;
Male;175.6606329125;69.1577294931;195.8952568572;;0.2528580533;;
Male;179.8193574385;70.7950226136;215.7464553052;;21.7302764204;;
Male;165.5937178932;65.1943771233;166.7073730594;;91.4713410098;;
Male;189.9557143705;74.7857143191;239.4643429027;;218.9787733999;;
Male;180.5099419415;71.0669062762;184.2792458331;;28.6456055358;;
Male;176.1088623764;69.334197786;199.9838909065;;0.9045520159;;
Male;177.5439780345;69.8992039506;191.4122311327;;5.693926832;;
Male;163.6399922312;64.4251937918;169.1094014178;;132.6595037637;;
Male;172.3444119744;67.8521306986;194.744522494;;7.9150564222;;
Male;171.5746364995;67.549069488;183.2665331179;;12.8389387099;;
Male;189.909314986;74.7674468449;210.3699087098;;217.607696487;;
Male;181.4041228055;71.4189459864;198.0424838899;;39.0167611988;;
Male;170.4856747409;67.1203443862;172.6640903751;;21.8285954096;;
Male;177.4433532965;69.859587912;197.0708561579;;5.2238316656;;
Male;173.8142660142;68.4308133914;190.5058100396;;1.805037841;;
Male;172.5510458218;67.933482607;184.5554831053;;6.7950786188;;
Male;173.9781716145;68.4953431553;179.9298166479;;1.3914829768;;
Male;165.7201242632;65.2441434107;159.5032197654;;89.0694020797;;
Male;178.2707941994;70.185352047;197.8845070712;;9.6908388439;;
Male;180.6044982378;71.1041331645;217.2696051983;;29.6667070857;;
Male;173.8568494995;68.4475785431;187.9074259866;;1.6924279241;;
Male;166.1682651332;65.4205768241;176.8616842379;;80.8114311411;;
Male;171.9600018088;67.7007881137;185.1482021018;;10.2258044272;;
Male;188.5265801777;74.2230630621;223.3080403045;;178.7247384794;;
Male;180.7648045121;71.1672458709;206.9429817761;;31.4386904467;;
Male;170.7661606006;67.23077189;171.016940601;;19.2863471347;;
Male;172.416620352;67.8805591937;175.2228479654;;7.5139725603;;
Male;171.13599369;67.3763754685;173.3103955519;;16.1747891037;;
Male;174.6535671997;68.761246929;181.125973502;;0.2542335545;;
Male;182.1313921525;71.705272501;202.609008338;;48.6312248732;;
Male;176.2277267735;69.3809947927;199.8509200488;;1.1447797184;;
Male;187.2399801909;73.7165276342;223.5147223443;;145.9794894109;;
Male;176.4115755678;69.4533762078;219.2617066668;;1.57199585;;
Male;179.7971761159;70.7862898094;211.2160809235;;21.5239686572;;
Male;182.2918978917;71.7684637369;200.7989829674;;50.8955955552;;
Male;176.1323730548;69.3434539586;208.8097753376;;0.9498258115;;
Male;165.8265047918;65.2860255086;161.4200816585;;87.072752649;;
Male;180.1414848111;70.9218444138;207.8359445618;;24.8372839279;;
Male;174.2355232235;68.5966626864;180.8312377555;;0.8505630609;;
Male;174.2536429396;68.6037964329;176.8154762097;;0.8174692151;;
Male;176.4760100643;69.4787441198;194.6037685027;;1.7377226423;;
Male;167.4644763861;65.930896215;163.0084316533;;59.1869663677;;
Male;174.0492970569;68.523345298;173.2706571548;;1.2287410445;;
Male;187.7799752805;73.9291241262;215.6200354272;;159.3197384392;;
Male;180.8427620684;71.1979378222;210.134529042;;32.3189872206;;
Male;169.0537306574;66.556586873;185.042324085;;37.2594547727;;
Male;182.2253816222;71.7422762292;187.9653553595;;49.9509505484;;
Male;177.1518665025;69.7448293317;188.1811248482;;3.9763690896;;
Male;169.5466614793;66.7506541257;179.5420171432;;31.4846845105;;
Male;177.0187525333;69.6924222572;211.7184289617;;3.4632076734;;
Male;178.8249327502;70.4035168308;197.6921420835;;13.4479874278;;
Male;175.3101297191;69.0197361099;186.287991991;;0.0232095285;;
Male;164.4200093745;64.7322871553;166.1060724374;;115.2997820317;;
Male;180.3351090799;70.9980744409;188.8117699769;;26.8047055311;;
Male;163.7279282029;64.4598142531;161.378773212;;130.6415802559;;
Male;177.1637873608;69.749522583;193.4762588312;;4.0240535707;;
Male;181.678195983;71.5268488122;189.2822460998;;42.5157857126;;
Male;173.5529062946;68.327915864;207.784924645;;2.5756291796;;
Male;179.7423892168;70.7647201641;199.3230942593;;21.0186143347;;
Male;181.4043860709;71.4190496342;209.8582566047;;39.0200501586;;
Male;176.251804201;69.3904740949;180.1754727639;;1.1968824293;;
Male;182.8843998332;72.0017322178;196.2144144814;;59.7006079763;;
Male;175.7463464322;69.1914749733;189.4388403515;;0.3464069357;;
Male;168.0625627393;66.1663632832;165.5146074331;;50.3421502821;;
Male;170.8712432078;67.2721429952;182.3943346924;;18.3744232297;;
Male;180.1262219249;70.9158354035;189.5576374601;;24.6853855362;;
Male;175.5645149858;69.1198877897;189.6259140763;;0.1654309235;;
Male;171.2189257131;67.4090258713;170.1913254292;;15.5145965792;;
Male;185.2641685621;72.9386490402;216.0974547198;;102.139029508;;
Male;179.0469588878;70.490928696;177.0677743508;;15.125689232;;
Male;175.2809790332;69.0082594619;196.051188755;;0.0151772672;;
Male;169.5757591907;66.7621099176;167.7004962313;;31.1589895988;;
Male;175.5664858729;69.1206637295;179.6078700511;;0.1670380536;;
Male;185.7407186573;73.1262671879;220.6614050938;;111.9985275216;;
Male;171.4165326943;67.4868238954;164.2952412526;;13.9969537099;;
Male;164.9858989709;64.955078335;156.5447863495;;103.467224321;;
Male;172.1675222505;67.782489075;183.6810290381;;8.9416592382;;
Male;171.8624929418;67.662398796;170.3054934905;;10.8589364442;;
Male;168.8500483965;66.4763970065;168.6272639128;;39.7875155922;;
Male;185.3871583105;72.987070201;209.6379744894;;104.6401196265;;
Male;176.6906099841;69.5632322772;195.3460269704;;2.3495586205;;
Male;180.3490427543;71.0035601395;194.3226013602;;26.9491780311;;
Male;177.5857188997;69.9156373621;219.3679167472;;5.894872824;;
Male;182.1107401415;71.697141788;205.1617482864;;48.3436132719;;
Male;171.8308497781;67.6499408575;178.8826336657;;11.0684845389;;
Male;173.4707085938;68.2955545645;181.7249314658;;2.8462199889;;
Male;174.4656294112;68.6872556737;203.5603338361;;0.4790765646;;
Male;175.0460599791;68.9157716453;165.1558986834;;0.0124820292;;
Male;175.1606343689;68.9608796728;197.9314295503;;8.13041131401389E-006;;
Male;170.8079774187;67.2472352042;173.2840330133;;18.9208084327;;
Male;175.0462936484;68.9158636411;183.9477889;;0.0124298714;;
Male;167.2299030391;65.8385445036;139.5340469401;;62.8512803772;;
Male;164.2645318914;64.6710755478;160.1885313441;;118.6629193073;;
Male;168.3915802179;66.2958977236;163.6040021919;;45.7814998348;;
Male;170.4278677979;67.0975857472;193.9551074438;;22.3720976423;;
Male;170.1756559213;66.9982897328;189.8933424944;;24.8215900419;;
Male;180.2434060926;70.9619709026;184.2239320437;;25.8635624302;;
Male;173.7890154002;68.4208722048;190.7955421696;;1.8735246911;;
Male;171.83742007;67.6525275866;188.2006793809;;11.024809863;;
Male;192.0752906221;75.6201931583;226.2077798694;;286.2020647759;;
Male;179.1950747364;70.5492420222;197.8793731049;;16.2997247157;;
Male;174.9827308296;68.8908389093;190.5134869036;;0.0306432558;;
Male;173.4427110755;68.2845319195;176.2465834363;;2.941471642;;
Male;165.0874987784;64.9950782592;177.7270944984;;101.4106239278;;
Male;166.5624597185;65.5757715427;173.6915921942;;73.8795819928;;
Male;176.0374641304;69.3060882403;210.4636875406;;0.773838924;;
Male;166.8899771724;65.7047154222;170.1005633182;;68.3566128939;;
Male;172.2221371662;67.8039910103;173.459891806;;8.6180163519;;
Male;175.8090141722;69.2161473119;184.9366903226;;0.424102064;;
Male;172.7581152626;68.0150060089;194.2869459473;;5.7584051601;;
Male;157.2944503162;61.9269489434;149.1496848377;;319.0986539027;;
Male;170.8565612976;67.2663627156;192.4707695606;;18.5005079721;;
Male;171.8991275089;67.6768218539;179.7508079824;;10.6188354878;;
Male;177.7260951846;69.970903616;202.8632930321;;6.5962275738;;
Male;165.8961923037;65.3134615369;163.3573315189;;85.7770618789;;
Male;182.6412538191;71.9060054406;217.0277146437;;56.0023357806;;
Male;168.2341162672;66.2339040422;183.1612324557;;47.9371607681;;
Male;167.1699547735;65.8149428242;166.5836105075;;63.8053994778;;
Male;185.0261675517;72.844947855;205.2508891511;;97.3850140293;;
Male;180.2115863696;70.9494434526;189.703088824;;25.5409286876;;
Male;181.2132713744;71.3438076277;218.5863363974;;36.6689396785;;
Male;180.4813869613;71.055664158;203.1394330256;;28.3407593361;;
Male;157.2908901288;61.9255472948;139.9050703154;;319.225860203;;
Male;174.6566421971;68.7624575579;196.2938058749;;0.2511420856;;
Male;171.663211221;67.5839414256;179.9370111672;;12.2120317877;;
Male;171.098704459;67.3616946689;164.1459223974;;16.4761184501;;
